,Repo,Category,perc_metric
15,Numpy,Math,100.0
16,Optuna,Math,60.142993980054804
17,SciPy,Math,73.89926149146754
18,Theano,Math,56.15548567648786
19,Statsmodels,Math,56.422205431133484
