,Repo,Category,perc_metric
25,Odyssey,DB,58.65163812810004
26,Tarantool,DB,82.23761645899597
27,Postgres,DB,45.599042255184976
28,ClickHouse,DB,100.0
29,YDB,DB,76.6091860704322
