,Repo,Category,perc_metric
5,LangChain,MLops,85.85939328332637
6,Kubeflow,MLops,59.37571805319124
7,MLflow,MLops,100.0
8,Wandb,MLops,56.809710877088705
9,GigaChain,MLops,61.455771000459755
