,Repo,Category,perc_metric
0,Metabase,Visualization,90.73731388764654
1,SuperSet,Visualization,100.0
2,DataLens,Visualization,57.59906647697854
3,Matplotlib,Visualization,88.86797771754122
4,Plotly,Visualization,69.0227604680747
