Название,Кол-во звезд,Кол-во contributors,Кол-во коммитов,score
yandex,65065,211,198979,13.5
postgre,16920,56,55294,12.7
МФТИ,7322,52,3727,11.6
tinkoff,1262,47,907,11.25
sber,9406,56,977,11.25
ITMO,826,54,1541,15
HSE,1073,18,343,9.7
MTS,648,21,191,13.7
Skoltech,307,7,165,11
VK,4480,38,16448,13.7
