,Repo,Category,perc_metric
20,YTsaurus,Infra,80.01692762583737
21,Spark,Infra,79.81784364045296
22,Pandas,Infra,100.0
23,Hadoop,Infra,58.97498335687634
24,Caffe,Infra,76.95274315486321
